tipus,gyarto,rendszam,szin,vitorlak szama,ferohelyek szama,evjarat,javitas alatt
auto,Pontiac,51801-014,Goldenrod,null,3,2001,false
auto,Honda,49817-0046,Puce,null,6,2008,false
auto,Infiniti,42291-267,Indigo,null,3,1964,true
auto,Suzuki,10738-101,Goldenrod,null,3,1951,false
auto,Isuzu,31722-551,Indigo,null,6,2014,false
auto,Audi,0310-0145,Red,null,2,1971,true
auto,Ford,55714-4539,Orange,null,2,1953,true
auto,Ford,59762-0033,Maroon,null,5,1989,true
auto,Audi,0641-6028,Violet,null,6,2001,true
auto,Saturn,0178-0490,Red,null,3,1989,true
auto,Acura,41520-140,Orange,null,7,1955,true
auto,Mercedes-Benz,61077-028,Violet,null,7,1983,true
auto,Honda,68382-018,Crimson,null,4,1974,true
auto,Pontiac,0002-4464,Mauv,null,5,1968,true
auto,Ford,43538-192,Turquoise,null,6,2000,false
auto,Mercedes-Benz,54868-3935,Yellow,null,7,2011,false
auto,Nissan,57520-0560,Purple,null,4,1958,false
auto,Mazda,62670-4802,Green,null,5,2018,false
auto,Volvo,21695-888,Blue,null,4,1985,true
auto,Maserati,54868-5921,Maroon,null,2,1985,true
auto,Suzuki,36987-2945,Puce,null,4,1982,true
auto,GMC,63304-622,Teal,null,7,1990,true
auto,Dodge,64117-163,Teal,null,5,1993,true
auto,Toyota,53808-0260,Fuscia,null,7,1981,false
auto,Volkswagen,45802-905,Fuscia,null,6,2013,false
auto,Volvo,61601-1135,Puce,null,4,1957,false
auto,Mitsubishi,43857-0290,Aquamarine,null,3,1997,false
auto,Ford,61727-323,Violet,null,4,1968,false
auto,Aston Martin,49035-255,Purple,null,5,2001,false
auto,Buick,0168-0277,Green,null,4,1973,false
auto,Toyota,32909-727,Green,null,2,1992,true
auto,Honda,53746-464,Purple,null,6,1960,true
auto,Volvo,49288-0899,Violet,null,5,2003,false
auto,Hyundai,55289-049,Teal,null,6,1997,true
auto,Chevrolet,28595-900,Violet,null,3,2006,true
auto,GMC,37205-311,Puce,null,7,1955,false
auto,Pontiac,49643-409,Pink,null,4,1952,false
auto,Eagle,55429-0838,Red,null,4,1949,true
auto,Volkswagen,51138-059,Violet,null,7,1959,false
auto,Subaru,0517-8880,Purple,null,5,1965,true
auto,Ford,21695-179,Fuscia,null,5,1972,true
auto,Mercedes-Benz,55648-422,Teal,null,3,1997,false
auto,Mercedes-Benz,64159-6326,Aquamarine,null,4,1962,true
auto,Infiniti,44924-115,Red,null,3,1977,true
auto,Dodge,62011-0098,Blue,null,3,1987,true
auto,Ford,0363-0450,Puce,null,6,1966,true
auto,Chevrolet,16252-506,Aquamarine,null,2,1954,false
auto,Toyota,36987-2892,Violet,null,7,1951,false
auto,Volkswagen,49035-098,Mauv,null,6,2005,true
auto,Ford,49348-301,Yellow,null,4,1966,false
auto,Volkswagen,0904-6000,Purple,null,5,2011,true
auto,Suzuki,0409-7938,Indigo,null,2,2011,false
auto,Chevrolet,30142-607,Yellow,null,3,1974,false
auto,Subaru,42254-061,Yellow,null,5,1951,false
auto,Kia,54340-833,Pink,null,6,1995,false
auto,BMW,62011-0076,Turquoise,null,4,1990,true
auto,Suzuki,66949-601,Crimson,null,4,1978,true
auto,Ford,51668-101,Mauv,null,6,2003,true
auto,Nissan,37012-477,Goldenrod,null,6,2005,false
auto,Buick,37000-338,Orange,null,2,1998,false
auto,Toyota,0904-6007,Turquoise,null,2,1979,false
auto,Volvo,48951-4027,Puce,null,5,1947,false
auto,Suzuki,10819-5003,Teal,null,6,1972,true
auto,Chevrolet,0054-3027,Goldenrod,null,6,1977,true
auto,Acura,63629-3152,Violet,null,5,1982,false
auto,Dodge,36987-1819,Blue,null,5,1999,false
auto,Honda,46672-174,Puce,null,2,1983,true
auto,Ford,43353-814,Fuscia,null,3,1990,false
auto,Land Rover,50419-524,Crimson,null,2,1973,false
auto,BMW,0430-3240,Pink,null,3,1996,false
auto,Ford,63722-001,Mauv,null,3,1988,false
auto,Dodge,0093-7296,Indigo,null,5,2009,false
auto,Pontiac,49781-092,Blue,null,7,1985,false
auto,Alfa Romeo,14060-003,Fuscia,null,3,1965,true
auto,Dodge,52380-1730,Indigo,null,4,2001,false
auto,Chevrolet,57520-0645,Blue,null,5,1973,false
auto,Hummer,0075-2452,Yellow,null,5,1961,true
auto,Cadillac,0942-6330,Red,null,4,1959,false
auto,Ford,0641-6027,Violet,null,4,1991,true
auto,Toyota,21695-949,Crimson,null,5,2005,true
auto,Mercedes-Benz,41520-126,Indigo,null,4,1948,true
auto,Nissan,30142-425,Violet,null,4,1948,true
auto,Oldsmobile,42507-556,Goldenrod,null,7,1956,true
auto,Scion,52685-405,Crimson,null,4,1968,false
auto,Suzuki,46672-053,Aquamarine,null,2,2001,false
auto,Jeep,31722-219,Puce,null,2,2002,true
auto,BMW,35356-299,Pink,null,3,1958,true
auto,Isuzu,62802-110,Crimson,null,3,1985,true
auto,Volkswagen,55143-014,Puce,null,4,2020,false
auto,Saab,52544-284,Blue,null,7,1977,false
auto,Toyota,10370-195,Mauv,null,4,2011,true
auto,Mazda,10544-019,Teal,null,7,2020,false
auto,Ford,49035-928,Puce,null,5,1956,false
auto,Dodge,64942-1037,Green,null,6,1977,true
auto,BMW,43406-0152,Mauv,null,4,1960,false
auto,Audi,29336-302,Mauv,null,5,1946,true
auto,BMW,63941-333,Aquamarine,null,7,1991,false
auto,Porsche,45802-401,Khaki,null,3,1997,true
auto,Hyundai,57525-011,Mauv,null,5,1977,true
auto,Buick,49502-420,Fuscia,null,4,2008,false
auto,Plymouth,68084-710,Blue,null,2,1971,true
auto,Eagle,43857-0283,Turquoise,null,2,1989,false
auto,Audi,0603-6345,Mauv,null,2,1994,false
auto,Kia,49288-0345,Red,null,4,1964,false
auto,Pontiac,0555-0607,Purple,null,7,1972,true
auto,Dodge,0363-0201,Crimson,null,4,1951,true
auto,Jeep,50436-6312,Indigo,null,6,1998,true
auto,Audi,67781-252,Orange,null,6,1976,true
auto,Dodge,65954-002,Pink,null,7,1983,false
auto,Chevrolet,0904-5802,Pink,null,7,2005,false
auto,Lamborghini,53808-1049,Blue,null,3,1949,false
auto,Volvo,42507-187,Maroon,null,4,2016,true
auto,Mercury,59762-1001,Orange,null,2,2000,true
auto,BMW,54868-3071,Pink,null,3,1961,true
auto,Volkswagen,54868-5586,Fuscia,null,4,2004,false
auto,Suzuki,21695-844,Aquamarine,null,6,1961,true
auto,Ford,59779-578,Indigo,null,7,2001,true
auto,Mercury,59762-5019,Puce,null,2,1952,true
auto,Infiniti,60371-339,Aquamarine,null,2,1974,true
auto,Honda,0615-1511,Orange,null,4,1998,false
auto,Mitsubishi,62584-683,Goldenrod,null,7,1966,true
auto,Lexus,13537-224,Turquoise,null,5,1977,true
auto,Volvo,31722-272,Fuscia,null,5,1994,true
auto,Suzuki,0603-2212,Red,null,5,2016,true
auto,Toyota,33261-788,Blue,null,7,1984,false
auto,Ford,49349-151,Mauv,null,6,1984,false
auto,Dodge,54868-6067,Mauv,null,4,2013,false
auto,Porsche,59899-007,Teal,null,7,2005,false
auto,Lexus,0268-6001,Crimson,null,6,1983,false
